alpha,beta,h,c,total,intervals,travel_time,cost_PPO_EnvImpr2V2_c49ab_500K,observed_n_PPO_EnvImpr2V2_c49ab_500K,cost_PTO_Var_n,observed_n_PTO_Var_n,cost_PTO_Fix_n_3,cost_PTO_Fix_n_5,cost_Oracle_Var_n,observed_n_Oracle_Var_n,cost_Oracle_Fix_n_3,cost_Oracle_Fix_n_5
2.300000000000001,1.3000000000000003,0.5,25,22,"[1.91406846 5.16197492 4.37342826 2.31249205 5.29585645 1.56472936
 2.24786145 4.79712104 1.87345872 7.79613167 2.56899636 2.43328243
 1.70015269 3.89334711 3.29950172 2.32912144 3.99844102 1.91285616
 2.81372209 2.1095244  1.9250248  1.02536974]",45.90763466905644,0.4081390720900373,6.0,0.4081390720900373,6.0,25.0,25.0,4.994678001846399,3.0,4.994678001846399,1.1905037508220389
1.4000000000000004,1.7000000000000006,0.5,25,15,"[3.65067197 3.12019333 1.28354967 1.33683435 1.8619164  1.80525999
 3.75462827 3.64450052 0.06426207 1.46848379 2.70228166 1.36704076
 0.9228317  2.63409109 4.69485015]",22.59456170598914,1.162792344182888,4.0,0.5740692565246768,3.0,0.5740692565246768,0.23183414491470344,1.831209518530109,3.0,1.831209518530109,0.23183414491470344
1.4000000000000004,1.5000000000000004,0.5,25,14,"[0.78371763 0.02768082 3.25703283 2.43078357 0.91491389 1.60945323
 0.96295126 0.6774042  2.30433337 1.217171   0.31699784 1.96222712
 0.43033547 2.21798013]",10.801506319130121,2.1215223777834247,3.0,2.1215223777834247,3.0,2.1215223777834247,0.4486736441442236,0.3318328755391491,4.0,0.6665475423484857,0.4486736441442236
2.300000000000001,1.3000000000000003,0.5,25,28,"[ 8.71909749  5.56088765  3.18283099  2.65741839  3.11473463  1.49665447
  2.49435162  3.0083686   1.3530553   1.05035811  1.7647565   2.89591756
  1.9504053   4.83617232  0.39253676  2.14000516  2.68780748 11.25205784
  4.06450587  1.5724052   0.79573791  1.64500136  6.64572359  3.77002805
  3.90097605  2.50832058  4.29287728  3.14528245]",61.243888722737516,25.0,8.0,25.0,8.0,25.0,25.0,6.8420901471154,3.0,6.8420901471154,4.2097083134138416
2.9000000000000017,1.7000000000000006,0.5,25,12,"[ 2.85394232 10.5644912   1.09936962  6.39421341  7.46077413  1.30959024
  4.43241834  4.82470049  3.91110079  7.66990686  9.5583337   6.53880709]",40.81438121178809,5.642731915193799,3.0,5.642731915193799,3.0,5.642731915193799,25.0,5.642731915193799,3.0,5.642731915193799,25.0
2.100000000000001,1.4000000000000004,0.5,25,20,"[6.67649176 2.47904853 2.06130019 3.69036068 0.81203662 2.30960149
 1.49407616 1.97740005 2.68659526 2.66653875 2.85789844 6.1623456
 1.94089048 1.53966489 5.15140812 2.44287566 2.83402494 4.83847351
 4.88386498 2.25660262]",41.745711229057775,2.1482748608196403,5.0,2.1482748608196403,5.0,25.0,2.1482748608196403,4.3994735122812045,3.0,4.3994735122812045,2.1482748608196403
1.0,1.8000000000000007,0.5,25,23,"[0.3817853  1.4231699  0.51361848 2.34561308 0.08330147 3.39778861
 0.91525852 1.02115493 1.4530302  1.88366945 0.53366124 0.04926072
 1.78694574 1.18370988 0.64224624 1.04556979 0.30079246 1.5565362
 1.56390652 0.16481314 2.38189958 0.64548786 1.53686274]",20.480358452927533,2.0055749551498945,3.0,2.0055749551498945,3.0,2.0055749551498945,0.7911176800645414,0.4749781815283072,5.0,0.08573306661366153,0.4749781815283072
1.7000000000000006,1.7000000000000006,0.5,25,15,"[2.08901995 0.35893949 2.35220241 2.13334242 3.92674779 2.71760505
 3.0947556  0.39625528 5.37412492 6.10386198 6.03358262 0.49983416
 0.74765871 5.00744934 1.06308464]",27.77023781740805,4.6640323394293475,3.0,4.6640323394293475,3.0,4.6640323394293475,1.6339872387139742,4.6640323394293475,3.0,4.6640323394293475,1.6339872387139742
2.000000000000001,1.1,0.5,25,29,"[1.41207891 4.06763014 1.94606216 1.91883172 1.23134592 1.01140906
 0.92798877 3.20947684 1.07213729 0.87351417 0.68356726 1.41131335
 3.10961136 0.75014951 1.81429763 4.4105024  3.30437573 5.45182716
 3.59392649 4.36981201 0.24618123 2.14073619 2.64439292 2.35898315
 1.82531598 3.80567626 2.34883805 1.62157248 0.36295289]",42.765319751898204,5.169812524278992,5.0,5.169812524278992,5.0,0.6380258214650851,5.169812524278992,5.388770146465085,3.0,5.388770146465085,5.2916192033298906
1.7000000000000006,1.6000000000000005,0.5,25,14,"[ 1.37603473 12.40418088  5.64134295  0.57668971  2.04508535  4.12168075
  2.06622905  0.83202897  2.9732915   4.50659795  1.85811614  1.02024031
  2.47795936  1.84143717]",19.40656924568203,25.0,6.0,25.0,6.0,25.0,25.0,2.4563934984315345,3.0,2.4563934984315345,1.1455059719778262
